Series Description,"Bank credit, all commercial banks, not seasonally adjusted","Securities in bank credit, all commercial banks, not seasonally adjusted","Treasury and agency securities, all commercial banks, not seasonally adjusted","Other securities, all commercial banks, not seasonally adjusted","Real estate loans, all commercial banks, not seasonally adjusted","Total assets, all commercial banks, not seasonally adjusted"
2017-12,12595204.2,3445892.7,2534829.1,911063.6,4292150.7,16764099.3
2018-01,12577899.7,3433981.2,2524045.1,909936.1,4300936.4,16711584.8
2018-02,12542097.2,3405207.2,2505051.8,900155.5,4304646.2,16684945.8
2018-03,12536604,3381190.4,2495684.9,885505.5,4311483.1,16594119.6
2018-04,12620814.1,3365089.9,2501785.6,863304.4,4324866.8,16575606.6
2018-05,12653343.4,3374684.3,2519446.2,855238.1,4329454.8,16654953.9
2018-06,12743963.2,3399878.2,2540016.5,859861.7,4351256,16704676.3
2018-07,12774575,3405894.1,2546311.5,859582.5,4369178,16700060
2018-08,12788776.4,3414624.5,2555344.8,859279.8,4372348.6,16709262.2
2018-09,12825008.1,3410790.5,2556304.4,854486,4390067.8,16699266.3
2018-10,12887641.5,3425764.9,2570369.2,855395.7,4405885,16774800.2
2018-11,12978020.4,3466746.5,2616372.4,850374.1,4409260.3,16883208.5
2018-12,13127820.4,3508671.8,2677084.7,831587.2,4417284.5,17010463.6
2019-01,13182845.3,3544903.5,2715544.1,829359.5,4423221.8,16990230.5
2019-02,13186105.6,3544991.1,2716072,828919.1,4425163.1,17045684.5
2019-03,13221065.4,3559334.6,2732143.5,827191.1,4435195.9,17104931.2
2019-04,13307387.6,3607067.6,2769758.4,837309.2,4450201.8,17065992.8
2019-05,13370639.4,3620906.3,2789156.5,831749.8,4477501.5,17130859.5
2019-06,13456750.4,3646601.7,2818801.6,827800.1,4497266.8,17281535.4
2019-07,13497167.4,3666504.2,2844031.6,822472.5,4512491.5,17290628.5
2019-08,13584501.6,3720650.6,2898207.7,822442.9,4522081.8,17455056.9
2019-09,13678069.7,3785459.2,2961106.4,824352.8,4534853.9,17449686
2019-10,13734582.7,3803146.5,2981447.5,821699,4559906.4,17536256.9
2019-11,13844709.5,3859441.8,3030912.9,828528.8,4583981.7,17696401.6
2019-12,13916046,3841521.3,3013228.4,828292.9,4617584.5,17809573.5
2020-01,13888666.2,3839858,3014600.7,825257.3,4620429.9,17804262.1
2020-02,13910350.3,3867436.9,3034779.2,832657.7,4622955.2,17900592.7
2020-03,14368102.5,3985077,3144933.4,840143.7,4644663.4,18871518.5
2020-04,14771533.3,3992619.9,3139700.4,852919.4,4666335.4,19952674.8
2020-05,14846104.9,4015597,3166772.7,848824.3,4666886.5,20192786.2
2020-06,14856492,4154854.7,3284901.4,869953.3,4670624.4,20095653.4
2020-07,14890339.6,4282516.7,3391101.5,891415.2,4691977.2,19928324.5
2020-08,14910056.7,4372152.2,3479649.6,892502.6,4689712.1,19996725.2
2020-09,14926182.5,4439695.1,3537329.5,902365.6,4684627.6,20062079.8
2020-10,14942227.1,4529574.1,3607276.1,922298,4681193.3,20120527
2020-11,15053697.7,4675576.1,3737510.4,938065.6,4663661.5,20354160.7
2020-12,15106732.7,4715427.3,3773580.6,941846.6,4650854.4,20531888.1
2021-01,15132135.9,4789834.9,3854057.4,935777.5,4658579.9,20555521.4
2021-02,15205510.5,4860527.2,3913948.6,946578.7,4638723.8,20733383.1
2021-03,15317435.7,4970910.3,3990233.5,980676.7,4628141.6,21034564.8
2021-04,15421512,5079460.6,4057720.8,1021739.8,4628015.5,21292692.5
2021-05,15543229.3,5177000.4,4137810.7,1039189.7,4627588.7,21403756
2021-06,15603923.9,5238056.1,4186951,1051105.1,4647379.5,21431061.5
2021-07,15650292.5,5268994.5,4219890.3,1049104.1,4666859.2,21602677.8
2021-08,15754979,5343026.3,4285513.3,1057513,4698231.5,21918174.9
2021-09,15851037.1,5405889,4334240,1071649,4716266.5,22073743.2
2021-10,16043707.9,5548524.7,4462248.4,1086276.4,4743190.2,22275459
2021-11,16261485.4,5670920.8,4567628.4,1103292.4,4772437.5,22614610.2
2021-12,16481665.3,5712461.1,4596113.6,1116347.5,4799786,22741281.1
2022-01,16590736.3,5799366.8,4686491,1112875.8,4813909.8,22598949.9
2022-02,16645554.4,5828815,4712721.4,1116093.6,4828513.5,22573914.9
2022-03,16777976.6,5839864.5,4696842,1143022.5,4857446.3,22754765.1
2022-04,16916542,5836452.4,4678731.4,1157721,4910957.8,22665371.7
2022-05,17016307.9,5799038.7,4655215.7,1143823,4965417,22599515.6
2022-06,17156157.7,5764080.9,4621941.5,1142139.4,5023270.5,22621389.5
2022-07,17245804.8,5750920.8,4598144.4,1152776.5,5075684,22804464.1
2022-08,17317280.7,5736976.8,4587598.2,1149378.6,5131721.8,22936479.5
2022-09,17313471.9,5642779.9,4508218.1,1134561.9,5174529.2,22770474.2
2022-10,17338366.6,5563008.4,4431354,1131654.5,5221623.7,22713991.2
2022-11,17436749.9,5559233.2,4430446,1128787.2,5263398.5,22938857.8
2022-12,17593686.2,5537138.1,4407049,1130089,5358069.5,23052123.8
2023-01,17568715.7,5528035.8,4370220.6,1157815.1,5371055.9,23004690.8
2023-02,17562705.2,5507486.6,4356042.1,1151444.5,5394944.8,22978965.9
2023-03,17444299.7,5377178.5,4241911.5,1135266.9,5399876.6,23094100.5
2023-04,17336063.4,5259623.5,4130326.6,1129296.9,5408183.7,22892345.6
2023-05,17310294.6,5208409.7,4095539.4,1112870.3,5440184.8,22884095.9
2023-06,17282741.1,5172701.8,4069087.4,1103614.4,5439034.9,22852514.6
2023-07,17256403,5139791.4,4042273.3,1097518.1,5452295.6,22776169
2023-08,17259292.5,5104404.3,4035740.8,1068663.5,5488255.4,22805139.3
2023-09,17255552.4,5059419.2,4028562.9,1030856.3,5503144.9,22831239
2023-10,17251037.5,5014583.8,3995048.8,1019534.9,5512329.9,22898808.5
2023-11,17304961.1,5039373.3,4025278.4,1014095,5525497.9,23098779.7
2023-12,17436808.3,5101661.9,4085120.8,1016541.2,5536796.4,23326053.9
2024-01,17425108.7,5129935.6,4102073.8,1027861.8,5547877.8,23291767.6
2024-02,17427845.8,5130711,4107253.6,1023457.4,5554985.8,23342782.6
2024-03,17533757.6,5229598.3,4216355.9,1013242.4,5564668.2,23366770.6
2024-04,17527214.8,5178941.5,4171839.7,1007101.8,5580724,23238490.7
2024-05,17546914.5,5170648.4,4168777.4,1001871.1,5588652.3,23255908
2024-06,17646441.8,5220992,4222716.3,998275.7,5591222.7,23348220.2
2024-07,17692770.3,5252728.8,4258028.2,994700.6,5602643.8,23343199.7
