Date,Benefits_Inflation,Total Compensation_Inflation,Wages and Salaries_Inflation,Benefits_Avg_Value,Total Compensation_Avg_Value,Wages and Salaries_Avg_Value
2018-01-01,0.0,0.0,0.0,23.64,48.44,43.89
2018-04-01,2.4111675126903487,1.3212221304706784,1.3898382319434963,24.21,49.08,44.5
2018-07-01,0.8261049153242439,1.7114914425427896,1.1235955056179805,24.41,49.92,45.0
2018-10-01,-2.5809094633346907,-1.8429487179487225,-3.31111111111112,23.78,49.0,43.51
2019-01-01,2.0605550883094903,1.7755102040816206,1.7007584463341718,24.27,49.87,44.25
2019-04-01,-3.3374536464771287,0.681772608782838,1.107344632768359,23.46,50.21,44.74
2019-07-01,4.987212276214836,0.9360685122485446,0.603486812695575,24.63,50.68,45.01
2019-10-01,-5.318717011774254,0.513022888713488,0.2666074205732061,23.32,50.94,45.13
2020-01-01,0.8147512864494111,-0.2355712603062332,0.7755373365831986,23.51,50.82,45.48
2020-04-01,0.5529561888558021,-0.1770956316410887,-0.2418645558487253,23.64,50.73,45.37
2020-07-01,0.3807106598984866,1.064458900059151,1.0138858276394158,23.73,51.27,45.83
2020-10-01,1.432785503581968,-4.2519992198166605,-3.142046694305034,24.07,49.09,44.39
2021-01-01,0.1661819692563293,2.974129150539806,2.770894345573316,24.11,50.55,45.62
2021-04-01,2.6130236416424646,-0.1186943620177904,-0.7891275756247262,24.74,50.49,45.26
2021-07-01,1.6976556184316929,2.3370964547435147,4.220061864781277,25.16,51.67,47.17
2021-10-01,2.821939586645472,2.903038513644285,3.837184651261394,25.87,53.17,48.98
2022-01-01,0.5411673753382251,2.14406620274592,2.0212331563903785,26.01,54.31,49.97
2022-04-01,4.536716647443284,1.2520714417234349,0.6804082449469728,27.19,54.99,50.31
2022-07-01,2.427363001103356,1.327514093471538,1.689524945338894,27.85,55.72,51.16
2022-10-01,4.524236983842012,3.3022254127781814,5.824863174354977,29.11,57.56,54.14
2023-01-01,4.053589831672966,1.4246004169562232,1.2929442186922824,30.29,58.38,54.84
2023-04-01,0.5612413337735322,1.0620075368276805,0.9299781181619116,30.46,59.0,55.35
2023-07-01,-1.1490479317137314,0.2372881355932277,0.3613369467027949,30.11,59.14,55.55
2023-10-01,7.70508136831618,2.8745350016909037,4.932493249324943,32.43,60.84,58.29
2024-01-01,2.096823928461311,1.3313609467455525,1.5440041173442998,33.11,61.65,59.19
