YearMonth,MORTGAGE30US
2018-01,4.032500000000001
2018-02,4.33
2018-03,4.444
2018-04,4.4675
2018-05,4.586
2018-06,4.57
2018-07,4.5275
2018-08,4.55
2018-09,4.6274999999999995
2018-10,4.83
2018-11,4.866
2018-12,4.6375
2019-01,4.464
2019-02,4.37
2019-03,4.265
2019-04,4.1425
2019-05,4.072
2019-06,3.8024999999999998
2019-07,3.765
2019-08,3.6159999999999997
2019-09,3.605
2019-10,3.6879999999999997
2019-11,3.6950000000000003
2019-12,3.72
2020-01,3.624
2020-02,3.4650000000000003
2020-03,3.45
2020-04,3.306
2020-05,3.2325
2020-06,3.1625
2020-07,3.016
2020-08,2.935
2020-09,2.89
2020-10,2.834
2020-11,2.765
2020-12,2.684
2021-01,2.735
2021-02,2.81
2021-03,3.0825
2021-04,3.06
2021-05,2.9625
2021-06,2.975
2021-07,2.868
2021-08,2.8425000000000002
2021-09,2.9
2021-10,3.0675
2021-11,3.0675
2021-12,3.098
2022-01,3.4450000000000003
2022-02,3.7625
2022-03,4.172
2022-04,4.9825
2022-05,5.2299999999999995
2022-06,5.522
2022-07,5.4125
2022-08,5.2225
2022-09,6.112
2022-10,6.9
2022-11,6.805
2022-12,6.364
2023-01,6.2725
2023-02,6.2575
2023-03,6.544
2023-04,6.342499999999999
2023-05,6.425
2023-06,6.714
2023-07,6.84
2023-08,7.072
2023-09,7.2
2023-10,7.62
2023-11,7.442
2023-12,6.815
2024-01,6.6425
2024-02,6.776000000000001
2024-03,6.82
2024-04,6.9925
2024-05,7.06
2024-06,6.9175
2024-07,6.8475
2024-08,6.5
2024-09,6.35
