date,stock_open,stock_high,stock_low,stock_close,stock_adj_close,stock_volume
9/1/2024,5623.89,5623.89,5402.62,5471.05,5471.05,18514880000
8/1/2024,5537.84,5651.62,5119.26,5648.4,5648.4,81097300000
7/1/2024,5471.08,5669.67,5390.95,5522.3,5522.3,80160390000
6/1/2024,5297.15,5523.64,5234.32,5460.48,5460.48,76025620000
5/1/2024,5029.03,5341.88,5011.05,5277.51,5277.51,86849720000
4/1/2024,5257.97,5263.95,4953.56,5035.69,5035.69,81747170000
3/1/2024,5098.51,5264.85,5056.82,5254.35,5254.35,86299510000
2/1/2024,4861.11,5111.06,4853.52,5096.27,5096.27,82066930000
1/1/2024,4745.2,4931.09,4682.11,4845.65,4845.65,81737880000
12/1/2023,4559.43,4793.3,4546.5,4769.83,4769.83,81530670000
11/1/2023,4201.27,4587.64,4197.74,4567.8,4567.8,80970570000
10/1/2023,4284.52,4393.57,4103.78,4193.8,4193.8,83519460000
9/1/2023,4530.6,4541.25,4238.63,4288.05,4288.05,73482980000
8/1/2023,4578.83,4584.62,4335.31,4507.66,4507.66,86840820000
7/1/2023,4450.48,4607.07,4385.05,4588.96,4588.96,75063200000
6/1/2023,4183.03,4458.48,4171.64,4450.38,4450.38,87983140000
5/1/2023,4166.79,4231.1,4048.28,4179.83,4179.83,88929200000
4/1/2023,4102.2,4170.06,4049.35,4169.48,4169.48,70861260000
3/1/2023,3963.34,4110.75,3808.86,4109.31,4109.31,113094800000
2/1/2023,4070.07,4195.44,3943.08,3970.15,3970.15,80392280000
1/1/2023,3853.29,4094.21,3794.33,4076.6,4076.6,80763810000
12/1/2022,4087.14,4100.96,3764.49,3839.5,3839.5,85249330000
11/1/2022,3901.79,4080.11,3698.15,4080.11,4080.11,92671910000
10/1/2022,3609.78,3905.42,3491.58,3871.98,3871.98,95823760000
9/1/2022,3936.73,4119.28,3584.13,3585.62,3585.62,94241020000
8/1/2022,4112.38,4325.28,3954.53,3955.0,3955.0,92252350000
7/1/2022,3781.0,4140.15,3721.56,4130.29,4130.29,81688320000
6/1/2022,4149.78,4177.51,3636.87,3785.38,3785.38,106116710000
5/1/2022,4130.61,4307.66,3810.32,4132.15,4132.15,108860390000
4/1/2022,4540.32,4593.45,4124.28,4131.93,4131.93,90367840000
3/1/2022,4363.14,4637.3,4157.87,4530.41,4530.41,123546260000
2/1/2022,4519.57,4595.31,4114.65,4373.94,4373.94,92667710000
1/1/2022,4778.14,4818.62,4222.62,4515.55,4515.55,95562890000
12/1/2021,4602.82,4808.93,4495.12,4766.18,4766.18,92750180000
11/1/2021,4610.62,4743.83,4560.0,4567.0,4567.0,88268840000
10/1/2021,4317.16,4608.08,4278.94,4605.38,4605.38,80253600000
9/1/2021,4528.8,4545.85,4305.91,4307.54,4307.54,85528860000
8/1/2021,4406.86,4537.36,4367.73,4522.68,4522.68,80500760000
7/1/2021,4300.73,4429.97,4233.13,4395.26,4395.26,84255620000
6/1/2021,4216.52,4302.43,4164.4,4297.5,4297.5,102544180000
5/1/2021,4191.98,4238.04,4056.88,4204.11,4204.11,88321860000
4/1/2021,3992.78,4218.78,3992.78,4181.17,4181.17,83124090000
3/1/2021,3842.51,3994.41,3723.34,3972.89,3972.89,122371150000
2/1/2021,3731.17,3950.43,3725.62,3811.15,3811.15,99082320000
1/1/2021,3764.61,3870.9,3662.71,3714.24,3714.24,106117800000
12/1/2020,3645.87,3760.2,3633.4,3756.07,3756.07,96375680000
11/1/2020,3296.2,3645.99,3279.74,3621.63,3621.63,101247180000
10/1/2020,3385.87,3549.85,3233.94,3269.96,3269.96,89938980000
9/1/2020,3507.44,3588.11,3209.45,3363.0,3363.0,92310780000
8/1/2020,3288.26,3514.77,3284.53,3500.31,3500.31,82466520000
7/1/2020,3105.92,3279.99,3101.17,3271.12,3271.12,96928130000
6/1/2020,3038.78,3233.13,2965.66,3100.29,3100.29,131458880000
5/1/2020,2869.09,3068.67,2766.64,3044.31,3044.31,107135190000
4/1/2020,2498.08,2954.86,2447.49,2912.43,2912.43,123608160000
3/1/2020,2974.28,3136.72,2191.86,2584.59,2584.59,162185380000
2/1/2020,3235.66,3393.52,2855.84,2954.22,2954.22,84436590000
1/1/2020,3244.67,3337.77,3214.64,3225.52,3225.52,77287980000
12/1/2019,3143.85,3247.93,3070.33,3230.78,3230.78,72325540000
11/1/2019,3050.72,3154.26,3050.72,3140.98,3140.98,72410620000
10/1/2019,2983.69,3050.1,2855.94,3037.56,3037.56,77720640000
