date,unemployment_rate
8/1/2019,3.6
9/1/2019,3.5
10/1/2019,3.6
11/1/2019,3.6
12/1/2019,3.6
1/1/2020,3.6
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,14.8
5/1/2020,13.2
6/1/2020,11.0
7/1/2020,10.2
8/1/2020,8.4
9/1/2020,7.8
10/1/2020,6.8
11/1/2020,6.7
12/1/2020,6.7
1/1/2021,6.4
2/1/2021,6.2
3/1/2021,6.1
4/1/2021,6.1
5/1/2021,5.8
6/1/2021,5.9
7/1/2021,5.4
8/1/2021,5.1
9/1/2021,4.7
10/1/2021,4.5
11/1/2021,4.1
12/1/2021,3.9
1/1/2022,4.0
2/1/2022,3.8
3/1/2022,3.6
4/1/2022,3.7
5/1/2022,3.6
6/1/2022,3.6
7/1/2022,3.5
8/1/2022,3.6
9/1/2022,3.5
10/1/2022,3.6
11/1/2022,3.6
12/1/2022,3.5
1/1/2023,3.4
2/1/2023,3.6
3/1/2023,3.5
4/1/2023,3.4
5/1/2023,3.7
6/1/2023,3.6
7/1/2023,3.5
8/1/2023,3.8
9/1/2023,3.8
10/1/2023,3.8
11/1/2023,3.7
12/1/2023,3.7
1/1/2024,3.7
2/1/2024,3.9
3/1/2024,3.8
4/1/2024,3.9
5/1/2024,4.0
6/1/2024,4.1
7/1/2024,4.3
8/1/2024,4.2
