,period,laid_off_by_month,funds_raised_by_month
0,2020/03,7850.0,15530.2
1,2020/04,19821.0,43862.0
2,2020/05,14674.0,74191.0
3,2020/06,3926.0,11724.1
4,2020/07,1612.0,4447.0
5,2020/08,1456.0,765.0
6,2020/09,567.0,865.8
7,2020/10,110.0,2552.5
8,2020/11,237.0,607.4
9,2020/12,132.0,352.0
10,2021/01,3172.0,5512.0
11,2021/02,336.0,1610.0
12,2021/03,47.0,355.0
13,2021/04,261.0,517.5
14,2021/06,2434.0,1600.0
15,2021/08,67.0,1014.0
16,2021/09,161.0,1632.0
17,2021/10,22.0,426.0
18,2021/11,2070.0,143.0
19,2021/12,900.0,1105.0
20,2022/01,510.0,4201.0
21,2022/02,3285.0,3834.0
22,2022/03,4105.0,8056.0
23,2022/04,1958.0,132199.0
24,2022/05,6367.0,140295.0
25,2022/06,9451.0,179039.0
26,2022/07,8836.0,56320.0
27,2022/08,9800.0,47451.0
28,2022/09,3396.0,137693.0
29,2022/10,10446.0,28690.0
30,2022/11,45938.0,97908.0
31,2022/12,5803.0,32441.0
32,2023/01,70059.0,99960.0
33,2023/02,24961.0,70754.0
34,2023/03,29895.0,69481.0
35,2023/04,8278.0,36769.0
36,2023/05,9254.0,17848.0
37,2023/06,6477.0,68053.2
38,2023/07,5400.0,23905.0
39,2023/08,4820.0,18062.0
40,2023/09,3808.0,29094.0
41,2023/10,6450.0,50662.0
42,2023/11,6815.0,27914.2
43,2023/12,3784.0,42568.0
44,2024/01,21390.0,64714.0
45,2024/02,12715.0,44473.3
46,2024/03,6898.0,36298.0
47,2024/04,16688.0,68669.0
48,2024/05,6581.0,44281.0
49,2024/06,4178.0,15804.0
50,2024/07,6435.0,7914.0
51,2024/08,19335.0,3488.0
